Price,Close,Volume
Ticker,NTPIF,NTPIF
Date,,
2022-01-07,11.079999923706055,998900
2022-01-10,11.020000457763672,609100
2022-01-11,11.529999732971191,432100
2022-01-12,9.579999923706055,1680100
2022-01-13,9.699999809265137,595800
2022-01-14,9.4399995803833,450300
2022-01-18,9.140000343322754,387000
2022-01-19,9.130000114440918,149000
2022-01-20,9.34000015258789,176700
2022-01-21,8.640000343322754,435500
2022-01-24,9.0,310600
2022-01-25,8.640000343322754,200900
2022-01-26,8.550000190734863,175100
2022-01-27,8.390000343322754,165700
2022-01-28,8.399999618530273,194000
2022-01-31,8.989999771118164,106700
2022-02-01,9.210000038146973,133300
2022-02-02,9.100000381469727,189400
2022-02-03,8.850000381469727,99800
2022-02-04,8.920000076293945,148800
2022-02-07,9.380000114440918,211700
2022-02-08,9.050000190734863,259400
2022-02-09,9.180000305175781,222000
2022-02-10,9.050000190734863,262600
2022-02-11,8.989999771118164,226400
2022-02-14,8.920000076293945,186800
2022-02-15,8.6899995803833,160900
2022-02-16,8.5,116600
2022-02-17,8.289999961853027,350700
2022-02-18,8.319999694824219,567900
2022-02-22,7.929999828338623,129900
2022-02-23,7.320000171661377,182100
2022-02-24,7.849999904632568,139500
2022-02-25,7.690000057220459,99700
2022-02-28,7.639999866485596,92000
2022-03-01,7.349999904632568,129400
2022-03-02,7.409999847412109,100300
2022-03-03,7.199999809265137,104900
2022-03-04,6.809999942779541,144300
2022-03-07,6.630000114440918,119300
2022-03-08,6.760000228881836,115800
2022-03-09,7.170000076293945,104200
2022-03-10,6.909999847412109,72600
2022-03-11,6.329999923706055,125000
2022-03-14,6.039999961853027,481500
2022-03-15,6.230000019073486,321700
2022-03-16,6.349999904632568,359500
2022-03-17,6.880000114440918,116100
2022-03-18,7.050000190734863,215500
2022-03-21,6.670000076293945,76900
2022-03-22,6.789999961853027,185500
2022-03-23,6.519999980926514,78200
2022-03-24,6.289999961853027,130700
2022-03-25,5.800000190734863,182900
2022-03-28,6.159999847412109,119800
2022-03-29,6.619999885559082,121000
2022-03-30,6.590000152587891,234300
2022-03-31,6.25,315000
2022-04-01,6.800000190734863,399700
2022-04-04,6.300000190734863,8673100
2022-04-05,7.329999923706055,825800
2022-04-06,7.159999847412109,699600
2022-04-07,7.769999980926514,258400
2022-04-08,7.46999979019165,480800
2022-04-11,7.260000228881836,314800
2022-04-12,6.690000057220459,491500
2022-04-13,6.800000190734863,219000
2022-04-14,6.800000190734863,148500
2022-04-18,6.25,179400
2022-04-19,6.539999961853027,119500
2022-04-20,6.670000076293945,58300
2022-04-21,6.46999979019165,105600
2022-04-22,6.449999809265137,98200
2022-04-25,7.0,209300
2022-04-26,6.400000095367432,158600
2022-04-27,6.21999979019165,181100
2022-04-28,5.96999979019165,266800
2022-04-29,6.210000038146973,122900
2022-05-02,6.440000057220459,131500
2022-05-03,6.510000228881836,104900
2022-05-04,6.269999980926514,81100
2022-05-05,5.46999979019165,307600
2022-05-06,5.239999771118164,399100
2022-05-09,4.630000114440918,212600
2022-05-10,4.849999904632568,189900
2022-05-11,4.590000152587891,149200
2022-05-12,4.360000133514404,164700
2022-05-13,4.110000133514404,366000
2022-05-16,4.079999923706055,236600
2022-05-17,4.46999979019165,197700
2022-05-18,4.199999809265137,134800
2022-05-19,4.269999980926514,88200
2022-05-20,4.230000019073486,86400
2022-05-23,4.21999979019165,25600
2022-05-24,4.21999979019165,0
2022-05-25,4.21999979019165,0
2022-05-26,4.21999979019165,0
2022-05-27,4.21999979019165,0
2022-05-31,4.21999979019165,0
2022-06-01,4.21999979019165,0
2022-06-02,4.21999979019165,0
2022-06-03,4.21999979019165,0
2022-06-06,4.21999979019165,0
2022-06-07,4.21999979019165,0
2022-06-08,4.21999979019165,0
2022-06-09,4.21999979019165,0
2022-06-10,4.21999979019165,0
2022-06-13,4.21999979019165,0
2022-06-14,4.21999979019165,0
2022-06-15,4.21999979019165,0
2022-06-16,4.21999979019165,0
2022-06-17,4.21999979019165,0
2022-06-21,4.21999979019165,0
2022-06-22,4.21999979019165,0
2022-06-23,4.21999979019165,0
2022-06-24,4.21999979019165,0
2022-06-27,4.21999979019165,0
2022-06-28,4.21999979019165,0
2022-06-29,4.21999979019165,0
2022-06-30,4.21999979019165,0
2022-07-01,4.21999979019165,0
2022-07-05,4.21999979019165,0
2022-07-06,4.21999979019165,0
2022-07-07,4.21999979019165,0
2022-07-08,4.21999979019165,0
2022-07-11,4.21999979019165,0
2022-07-12,4.21999979019165,0
2022-07-13,4.21999979019165,0
2022-07-14,4.21999979019165,0
2022-07-15,4.21999979019165,0
2022-07-18,4.21999979019165,0
2022-07-19,4.21999979019165,0
2022-07-20,4.21999979019165,0
2022-07-21,4.21999979019165,0
2022-07-22,4.21999979019165,0
2022-07-25,4.21999979019165,0
2022-07-26,4.21999979019165,0
2022-07-27,4.21999979019165,0
2022-07-28,4.21999979019165,0
2022-07-29,4.21999979019165,0
2022-08-01,4.21999979019165,0
2022-08-02,4.21999979019165,0
2022-08-03,4.21999979019165,0
2022-08-04,4.21999979019165,0
2022-08-05,4.21999979019165,0
2022-08-08,4.21999979019165,0
2022-08-09,4.21999979019165,0
2022-08-10,4.21999979019165,0
2022-08-11,4.21999979019165,0
2022-08-12,4.21999979019165,0
2022-08-15,4.21999979019165,0
2022-08-16,4.21999979019165,0
2022-08-17,4.21999979019165,0
2022-08-18,4.21999979019165,0
2022-08-19,4.21999979019165,0
2022-08-22,4.21999979019165,0
2022-08-23,4.21999979019165,0
2022-08-24,4.21999979019165,0
2022-08-25,4.21999979019165,0
2022-08-26,4.21999979019165,0
2022-08-29,4.21999979019165,0
2022-08-30,4.21999979019165,0
2022-08-31,4.21999979019165,0
2022-09-01,4.21999979019165,0
2022-09-02,4.21999979019165,0
2022-09-06,4.21999979019165,0
2022-09-07,4.21999979019165,0
2022-09-08,4.21999979019165,0
2022-09-09,4.21999979019165,0
2022-09-12,4.21999979019165,0
2022-09-13,4.21999979019165,0
2022-09-14,4.21999979019165,0
2022-09-15,4.21999979019165,0
2022-09-16,4.21999979019165,0
2022-09-19,4.21999979019165,0
2022-09-20,4.21999979019165,0
2022-09-21,4.21999979019165,0
2022-09-22,4.21999979019165,0
2022-09-23,4.21999979019165,0
2022-09-26,4.21999979019165,0
2022-09-27,4.21999979019165,0
2022-09-28,4.21999979019165,0
2022-09-29,4.21999979019165,0
2022-09-30,4.21999979019165,0
2022-10-03,4.21999979019165,0
2022-10-04,4.21999979019165,0
2022-10-05,4.21999979019165,0
2022-10-06,4.21999979019165,0
2022-10-07,4.21999979019165,0
2022-10-10,4.21999979019165,0
2022-10-11,4.21999979019165,0
2022-10-12,4.21999979019165,0
2022-10-13,4.21999979019165,0
2022-10-14,4.21999979019165,0
2022-10-17,4.21999979019165,0
2022-10-18,4.21999979019165,0
2022-10-19,4.21999979019165,0
2022-10-20,4.21999979019165,0
2022-10-21,4.21999979019165,0
2022-10-24,4.21999979019165,0
2022-10-25,4.21999979019165,0
2022-10-26,4.21999979019165,0
2022-10-27,4.21999979019165,0
2022-10-28,4.21999979019165,0
2022-10-31,4.21999979019165,0
2022-11-01,4.21999979019165,0
2022-11-02,4.21999979019165,0
2022-11-03,4.21999979019165,0
2022-11-04,4.21999979019165,0
2022-11-07,4.21999979019165,0
2022-11-08,4.21999979019165,0
2022-11-09,4.21999979019165,0
2022-11-10,4.21999979019165,0
2022-11-11,4.21999979019165,0
2022-11-14,4.21999979019165,0
2022-11-15,4.21999979019165,0
2022-11-16,4.21999979019165,0
2022-11-17,4.21999979019165,0
2022-11-22,0.9900000095367432,1405100
2022-11-23,2.5,569300
2022-11-25,2.25,705700
2022-11-28,1.5,26000
2022-11-29,1.5,96000
2022-11-30,1.4500000476837158,162400
2022-12-01,1.399999976158142,21900
2022-12-02,1.4800000190734863,185200
2022-12-05,1.399999976158142,309800
2022-12-06,1.309999942779541,26500
2022-12-07,1.309999942779541,10800
2022-12-08,1.3899999856948853,70800
2022-12-09,1.409999966621399,7400
2022-12-12,1.4900000095367432,62600
2022-12-13,1.409999966621399,56800
2022-12-14,1.309999942779541,70400
2022-12-15,1.309999942779541,28500
2022-12-16,1.3200000524520874,47100
2022-12-19,1.3200000524520874,53600
2022-12-20,1.409999966621399,14200
2022-12-21,1.309999942779541,4400
2022-12-22,1.350000023841858,59300
2022-12-23,1.3300000429153442,16000
2022-12-27,1.3200000524520874,143400
2022-12-28,1.3200000524520874,10000
2022-12-29,1.399999976158142,605100
2022-12-30,1.3300000429153442,9300
2023-01-03,1.3300000429153442,200
2023-01-04,1.350000023841858,3200
2023-01-05,1.4500000476837158,5600
2023-01-06,1.4500000476837158,11200
2023-01-09,1.3300000429153442,66000
2023-01-10,1.4199999570846558,26700
2023-01-11,1.3300000429153442,21600
2023-01-12,1.340000033378601,6700
2023-01-13,1.3300000429153442,50900
2023-01-17,1.309999942779541,3400
2023-01-18,1.2200000286102295,1800
2023-01-19,1.3200000524520874,1200
2023-01-20,1.2699999809265137,1700
2023-01-23,1.4900000095367432,600
2023-01-24,1.2999999523162842,35600
2023-01-25,1.3200000524520874,800
2023-01-26,1.2999999523162842,2000
2023-01-27,1.4199999570846558,1900
2023-01-30,1.409999966621399,7000
2023-01-31,1.409999966621399,0
2023-02-01,1.2999999523162842,3600
2023-02-02,1.4900000095367432,300
2023-02-03,1.4500000476837158,27700
2023-02-06,1.5099999904632568,14900
2023-02-07,1.5399999618530273,8700
2023-02-08,1.3600000143051147,3000
2023-02-09,1.5,1400
2023-02-10,1.5,0
2023-02-13,2.0,700
2023-02-14,1.5,2700
2023-02-15,1.850000023841858,3300
2023-02-16,2.0,3500
2023-02-17,1.649999976158142,3300
2023-02-21,1.649999976158142,1000
2023-02-22,1.4500000476837158,5600
2023-02-23,1.9900000095367432,300
2023-02-24,1.9500000476837158,200
2023-02-27,1.350000023841858,13700
2023-02-28,1.350000023841858,13000
2023-03-01,1.5,9600
2023-03-02,1.5099999904632568,25900
2023-03-03,1.5099999904632568,16600
2023-03-06,2.4000000953674316,46600
2023-03-07,2.3499999046325684,300
2023-03-08,1.600000023841858,3600
2023-03-09,1.850000023841858,400
2023-03-10,1.9500000476837158,300
2023-03-13,1.5,12000
2023-03-14,1.5,9000
2023-03-15,1.5,300
2023-03-16,1.75,2400
2023-03-17,1.9900000095367432,46400
2023-03-20,1.5,1600
2023-03-21,1.5,100
2023-03-22,2.200000047683716,400
2023-03-23,1.5,1100
2023-03-24,1.5,800
2023-03-27,1.5,0
2023-03-28,1.5,2000
2023-03-29,1.5099999904632568,700
2023-03-30,1.5099999904632568,900
2023-03-31,2.0999999046325684,100
2023-04-03,2.0999999046325684,100
2023-04-04,1.75,500
2023-04-05,1.75,1600
2023-04-06,1.7000000476837158,900
2023-04-10,2.299999952316284,46200
2023-04-11,2.5799999237060547,13000
2023-04-12,2.5799999237060547,0
2023-04-13,2.5799999237060547,1300
2023-04-14,2.4000000953674316,2000
2023-04-17,2.5,900
2023-04-18,2.5,0
2023-04-19,2.5799999237060547,10500
2023-04-20,2.549999952316284,400
2023-04-21,2.75,23200
2023-04-24,2.8299999237060547,18200
2023-04-25,2.75,13700
2023-04-26,2.75,55900
2023-04-27,2.75,3200
2023-04-28,2.8499999046325684,3500
2023-05-01,2.75,43000
2023-05-02,2.7699999809265137,600
2023-05-03,2.75,28000
2023-05-04,2.8499999046325684,20100
2023-05-05,2.940000057220459,18400
2023-05-08,2.9700000286102295,12900
2023-05-09,2.9700000286102295,0
2023-05-10,2.75,22500
2023-05-11,2.75,205200
2023-05-12,2.75,42500
2023-05-15,2.75,0
2023-05-16,2.75,800
2023-05-17,2.75,900
2023-05-18,2.75,3400
2023-05-19,3.009999990463257,44900
2023-05-22,2.8499999046325684,700
2023-05-23,3.75,32200
2023-05-24,3.75,0
2023-05-25,3.0299999713897705,2000
